"Name","dataset","algorithm","loss_feedback","test accuracy","Runtime","State","learning_rate","learning_rate_backward","train accuracy","seed","activation_function","epochs_backward","stepsize"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.933","4634","finished","4","0.0002","0.9393666666666668","3","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.933","4420","finished","4","0.0004","0.9366","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9323","3636","finished","4","0.0002","0.93505","2","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9321","5036","finished","4","0.0002","0.9356333333333332","3","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9315","4441","finished","4","0.0008","0.93535","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9313","6346","finished","4","0.0002","0.9362333333333334","4","","5","0.04"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9309","4238","finished","4","0.0002","0.93905","4","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9302","4488","finished","4","0.001","0.93465","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9287","4901","finished","4","0.0002","0.9306333333333332","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9287","4408","finished","4","0.0004","0.93055","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9287","5495","finished","4","0.0001","0.9307666666666666","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9283","4481","finished","4","0.001","0.9301666666666668","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9282","4446","finished","4","0.0008","0.9303333333333332","1","","5","0.02"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9281","7342","finished","4","0.0002","0.9398833333333332","1","","10","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9276","5496","finished","0.8","0.0001","0.9294166666666668","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9276","4876","finished","0.8","0.0002","0.9293","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9273","4438","finished","0.8","0.0004","0.9292333333333334","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9269","4985","finished","4","0.002","0.9366666666666666","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9269","4416","finished","0.8","0.0008","0.9288833333333332","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9268","5196","finished","4","0.002","0.9311166666666668","1","","5","0.04"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9267","5735","finished","4","0.0002","0.93895","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9266","5382","finished","0.8","0.001","0.9288333333333332","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9253","3674","finished","4","0.01","0.9302166666666668","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9251","3734","finished","4","0.01","0.9274","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9249","3602","finished","0.8","0.01","0.9263333333333332","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9248","5291","finished","4","0.004","0.9278833333333332","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9247","5001","finished","4","0.002","0.9283833333333332","1","","5","0.02"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9244","6269","finished","4","0.0002","0.9365666666666668","1","","5","0.04"
