"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"CIFAR10_DTP_linear_DTP","0.4189","0.4189","finished","1137","","false","DTP","256","CIFAR10","100","linear","4","DTP","1","-1","0.01","0.002","3","2.144923686981201","0.78514"
"CIFAR100_BP","0.2095","0.2095","finished","165","tanh","false","BP","256","CIFAR100","100","linear","0.05","DTP","5","-1","0.01","0.01","","5.325576305389404","0.99832"
"CIFAR100_FWDTP-BN_linear-BN","0.2154","0.2154","finished","816","","false","FWDTP-BN","256","CIFAR100","100","linear-BN","0.2","DTP","4","-1","0.01","0.01","3","3.7173047065734863","0.68626"
"CIFAR10_DTP_linear_DTP","0.4222","0.4222","finished","1123","","false","DTP","256","CIFAR10","100","linear","4","DTP","5","-1","0.01","0.002","3","2.1478209495544434","0.7803"
"CIFAR10_BP","0.1099","0.1099","finished","219","tanh","false","BP","256","CIFAR10","100","linear","0.2","DTP","3","-1","0.01","0.01","","12592768949944320","0.11014"
"MNIST_BP","0.9828","0.9828","finished","267","tanh","false","BP","256","MNIST","100","linear","0.1","DTP","5","-1","0.01","0.04","","0.07058364152908325","1"
"CIFAR10_BP","0.5018","0.5018","finished","183","tanh","false","BP","256","CIFAR10","100","linear","0.1","DTP","4","-1","0.01","0.01","","2.436267375946045","1"
"FashionMNIST_BP","0.8905","0.8905","finished","201","tanh","false","BP","256","FashionMNIST","100","linear","0.05","DTP","5","-1","0.01","0.04","","0.46996116638183594","0.99725"
"MNIST_DTP_linear_DRL","0.9312","0.9312","finished","1395","","false","DTP","256","MNIST","100","linear","4","DRL","4","-1","0.01","0.04","3","0.23251837491989136","0.9378666666666666"
"MNIST_FWDTP-BN_linear-BN","0.974","0.974","finished","564","","false","FWDTP-BN","256","MNIST","100","linear-BN","0.1","DTP","5","-1","0.01","0.04","3","0.38394054770469666","0.9954833333333334"
"FashionMNIST_BP","0.8879","0.8879","finished","190","tanh","false","BP","256","FashionMNIST","100","linear","0.01","DTP","5","-1","0.01","0.01","","0.3284474015235901","0.9574"
"CIFAR10_DTP_linear_DTP","0.4243","0.4243","finished","1139","","false","DTP","256","CIFAR10","100","linear","4","DTP","4","-1","0.01","0.002","3","2.1330816745758057","0.77796"
"CIFAR100_BP","0.2046","0.2046","finished","175","tanh","false","BP","256","CIFAR100","100","linear","0.02","DTP","2","-1","0.01","0.01","","4.4664459228515625","0.93954"
"MNIST_BP","0.9806","0.9806","finished","266","tanh","false","BP","256","MNIST","100","linear","0.1","DTP","3","-1","0.01","0.04","","0.0784967839717865","1"
"FashionMNIST_DTP_linear_DTP","0.8818","0.8818","finished","801","","false","DTP","256","FashionMNIST","100","linear","1","DTP","2","-1","0.01","0.04","3","0.4014679193496704","0.95825"
"FashionMNIST_FWDTP-BN_linear-BN","0.8848","0.8848","finished","623","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","3","-1","0.01","0.004","3","0.5812885761260986","0.9638"
"CIFAR10_DTP_linear_L-DRL","","0.3999","crashed","1831","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","2","-1","0.01","0.04","","","0.41322"
"CIFAR100_FWDTP-BN_linear-BN","","0.1914","crashed","7170","","false","FWDTP-BN","256","CIFAR100","100","linear-BN","0.2","DTP","3","-1","0.01","0.01","","","0.3904"
"MNIST_FWDTP-BN_linear-BN","","0.9731","crashed","4170","","false","FWDTP-BN","256","MNIST","100","linear-BN","0.1","DTP","5","-1","0.01","0.04","","","0.9915833333333334"
"CIFAR100_DTP_linear_DRL","","0.183","crashed","4741","","false","DTP","256","CIFAR100","100","linear","0.8","DRL","3","-1","0.01","0.02","","","0.2274"
"CIFAR10_FWDTP-BN_linear-BN","","0.4536","crashed","13981","","false","FWDTP-BN","256","CIFAR10","100","linear-BN","0.02","DTP","2","-1","0.01","0.01","","","0.59326"
"CIFAR10_DTP_linear_L-DRL","","0.4177","crashed","5611","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","1","-1","0.01","0.04","","","0.43912"
